date,mean,stdev,median
4/12/17,12.1,0.4,12
4/13/17,12.5,0.3,13
4/14/17,11.9,0.5,11.5
4/15/17,12.7,0.4,12
4/16/17,12.4,0.2,12.3
4/17/17,11.8,0.3,12.5
4/18/17,12.2,0.4,11.8
4/19/17,12.1,0.3,12
4/20/17,12.1,0.4,11.99285714
4/21/17,12.075,0.3,11.96071429
4/22/17,12.05,0.5,11.92857143
4/23/17,12.025,0.4,11.89642857
4/24/17,12,0.2,11.86428571
4/25/17,11.975,0.3,11.83214286
4/26/17,11.95,0.4,11.8
4/27/17,11.925,0.3,11.76785714
4/28/17,11.9,0.4,11.73571429
4/29/17,11.875,0.3,11.70357143
4/30/17,11.85,0.5,11.67142857
5/1/17,11.825,0.4,11.63928571
5/2/17,11.8,0.2,11.60714286
5/3/17,11.775,0.3,11.575
5/4/17,11.75,0.4,11.54285714
5/5/17,11.725,0.3,11.51071429
5/6/17,11.7,0.4,11.47857143
5/7/17,11.675,0.3,11.44642857
5/8/17,11.65,0.5,11.41428571
5/9/17,11.625,0.4,11.38214286
5/10/17,11.6,0.2,11.35
5/11/17,11.575,0.3,11.31785714
5/12/17,11.55,0.4,11.28571429
5/13/17,11.525,0.3,11.25357143
5/14/17,11.5,0.4,11.22142857
5/15/17,11.475,0.3,11.18928571
5/16/17,11.45,0.5,11.15714286
5/17/17,11.425,0.4,11.125
5/18/17,11.4,0.2,11.09285714
5/19/17,11.375,0.3,11.06071429
5/20/17,11.35,0.4,11.02857143
5/21/17,11.325,0.3,10.99642857
5/22/17,11.3,0.4,10.96428571
5/23/17,11.275,0.3,10.93214286
5/24/17,11.25,0.5,10.9
5/25/17,11.225,0.1,10.86785714
5/26/17,11.2,0.2,10.83571429
5/27/17,11.175,0.3,10.80357143
5/28/17,11.15,0.4,10.77142857
5/29/17,11.125,0.3,10.73928571
5/30/17,11.1,0.4,10.70714286
5/31/17,11.075,0.3,10.675
6/1/17,11.05,0.5,10.64285714
6/2/17,11.025,0.4,10.61071429
6/3/17,11,0.2,10.57857143
6/4/17,10.975,0.3,10.54642857
6/5/17,10.95,0.4,10.51428571
6/6/17,10.925,0.3,10.48214286
6/7/17,10.9,0.4,10.45
6/8/17,10.875,0.3,10.41785714
6/9/17,10.85,0.5,10.38571429
6/10/17,10.825,0.1,10.35357143
6/11/17,10.8,0.2,10.32142857
6/12/17,10.775,0.3,10.28928571
6/13/17,10.75,0.4,10.25714286
6/14/17,10.725,0.3,10.225
6/15/17,10.7,0.4,10.19285714
6/16/17,10.675,0.3,10.16071429
6/17/17,10.65,0.5,10.12857143
6/18/17,10.625,0.4,10.09642857
6/19/17,10.6,0.2,10.06428571
6/20/17,10.575,0.3,10.03214286
6/21/17,10.55,0.4,10
6/22/17,10.525,0.3,9.967857143
6/23/17,10.5,0.4,9.935714286
6/24/17,10.475,0.3,9.903571429
6/25/17,10.45,0.6,9.871428571
6/26/17,10.425,0.4,9.839285714
6/27/17,10.4,0.2,9.807142857
6/28/17,10.375,0.2,9.775
6/29/17,10.35,0.4,9.742857143
6/30/17,10.325,0.3,9.710714286
7/1/17,10.3,0.4,9.678571429
7/2/17,10.275,0.1,9.646428571
7/3/17,10.25,0.5,9.614285714
7/4/17,10.225,0.4,9.582142857
7/5/17,10.2,0.2,9.55
7/6/17,10.175,0.3,9.517857143
7/7/17,10.15,0.4,9.485714286
7/8/17,10.125,0.3,9.453571429
7/9/17,10.1,0.2,9.421428571
7/10/17,10.075,0.3,9.389285714
7/11/17,10.05,0.5,9.357142857
7/12/17,10.025,0.4,9.325
7/13/17,10,0.2,9.292857143
7/14/17,9.975,0.3,9.260714286
7/15/17,9.95,0.4,9.228571429
7/16/17,9.925,0.3,9.196428571
7/17/17,9.9,0.3,9.164285714
7/18/17,9.875,0.1,9.132142857
7/19/17,9.85,0.3,9.1
